RK,NAME,TEAM,SALARY
104,"Jordan Clarkson, PG",Utah Jazz,"$12,420,000"
105,"Dillon Brooks, SF",Memphis Grizzlies,"$12,200,000"
106,"Kelly Olynyk, PF",Detroit Pistons,"$12,195,122"
107,"Kelly Oubre Jr., SG",Charlotte Hornets,"$12,000,000"
108,"Jusuf Nurkic, C",Portland Trail Blazers,"$12,000,000"
109,"Josh Hart, SG",Portland Trail Blazers,"$12,000,000"
110,"Josh Richardson, SG",San Antonio Spurs,"$11,615,328"
111,"Marvin Bagley III, PF",Detroit Pistons,"$11,312,114"
112,"Dwight Powell, C",Dallas Mavericks,"$11,080,125"
113,"Devonte' Graham, PG",New Orleans Pelicans,"$11,000,000"
114,"Zion Williamson, PF",New Orleans Pelicans,"$10,733,400"
115,"Larry Nance Jr., PF",New Orleans Pelicans,"$10,690,909"
116,"Jeremy Lamb, SG",Sacramento Kings,"$10,500,000"
117,"Richaun Holmes, F",Sacramento Kings,"$10,384,500"
118,"Reggie Jackson, PG",LA Clippers,"$10,384,500"
119,"Anthony Edwards, SG",Minnesota Timberwolves,"$10,245,480"
120,"Luka Doncic, PG",Dallas Mavericks,"$10,174,391"
121,"Cade Cunningham, PG",Detroit Pistons,"$10,050,120"
122,"Tomas Satoransky, SG",Washington Wizards,"$10,000,000"
123,"Danny Green, F",Philadelphia 76ers,"$10,000,000"
124,"Kyle Anderson, SF",Memphis Grizzlies,"$9,937,150"
125,"Montrezl Harrell, C",Charlotte Hornets,"$9,720,900"
126,"Jae Crowder, PF",Phoenix Suns,"$9,720,900"
127,"Serge Ibaka, F",Milwaukee Bucks,"$9,720,900"
128,"Derrick Jones Jr., SF",Chicago Bulls,"$9,720,900"
129,"Derrick Favors, F",Oklahoma City Thunder,"$9,720,900"
130,"Ja Morant, PG",Memphis Grizzlies,"$9,603,360"
131,"Alec Burks, SG",New York Knicks,"$9,536,000"
132,"Reggie Bullock, SF",Dallas Mavericks,"$9,536,000"
133,"Talen Horton-Tucker, SG",Los Angeles Lakers,"$9,500,000"
134,"Mason Plumlee, C",Charlotte Hornets,"$9,248,333"
135,"Jaren Jackson Jr., PF",Memphis Grizzlies,"$9,180,560"
136,"James Wiseman, C",Detroit Pistons,"$9,166,800"
137,"Jalen Green, SG",Houston Rockets,"$8,992,200"
138,"Maxi Kleber, PF",Dallas Mavericks,"$8,975,000"
139,"De'Anthony Melton, SG",Memphis Grizzlies,"$8,805,976"
140,"Royce O'Neale, PF",Utah Jazz,"$8,800,000"
141,"Jakob Poeltl, C",San Antonio Spurs,"$8,750,000"
142,"Kemba Walker, PG",New York Knicks,"$8,729,020"
143,"Thomas Bryant, C",Washington Wizards,"$8,666,667"
144,"Alex Caruso, SG",Chicago Bulls,"$8,650,651"
145,"RJ Barrett, SG",New York Knicks,"$8,623,920"
146,"Delon Wright, SG",Atlanta Hawks,"$8,526,316"
147,"Dario Saric, PF",Oklahoma City Thunder,"$8,510,000"
148,"Monte Morris, PG",Denver Nuggets,"$8,449,074"
149,"Tyus Jones, PG",Memphis Grizzlies,"$8,376,286"
150,"Trae Young, PG",Atlanta Hawks,"$8,326,471"
151,"Daniel Theis, C",Boston Celtics,"$8,280,351"
152,"LaMelo Ball, PG",Charlotte Hornets,"$8,231,760"
153,"Seth Curry, SG",Brooklyn Nets,"$8,207,518"
154,"JaMychal Green, F",Denver Nuggets,"$8,200,000"
155,"Cedi Osman, SF",Cleveland Cavaliers,"$8,133,334"
156,"Evan Mobley, PF",Cleveland Cavaliers,"$8,075,160"
157,"Nerlens Noel, C",New York Knicks,"$8,000,000"
158,"De'Andre Hunter, SF",Atlanta Hawks,"$7,775,400"
159,"Mo Bamba, C",Orlando Magic,"$7,568,743"
160,"Ivica Zubac, C",LA Clippers,"$7,518,518"
161,"T.J. McConnell, PG",Indiana Pacers,"$7,500,000"
162,"Patrick Williams, PF",Chicago Bulls,"$7,422,000"
163,"Aron Baynes, C",Toronto Raptors,"$7,350,000"
164,"Scottie Barnes, SF",Toronto Raptors,"$7,280,520"
165,"Darius Garland, PG",Cleveland Cavaliers,"$7,040,880"
166,"Chris Boucher, PF",Toronto Raptors,"$7,020,000"
167,"Zach Collins, PF",San Antonio Spurs,"$7,000,000"
168,"P.J. Tucker, PF",Miami Heat,"$7,000,000"
169,"Wendell Carter Jr., C",Orlando Magic,"$6,920,027"
170,"Juancho Hernangomez, PF",Utah Jazz,"$6,907,815"
171,"Isaac Okoro, SF",Cleveland Cavaliers,"$6,720,720"
172,"Jalen Suggs, SG",Orlando Magic,"$6,593,040"
173,"Cameron Payne, PG",Phoenix Suns,"$6,500,000"
174,"Collin Sexton, PG",Cleveland Cavaliers,"$6,439,671"
175,"Jarrett Culver, G",Memphis Grizzlies,"$6,395,160"
176,"Khem Birch, C",Toronto Raptors,"$6,350,000"
177,"Onyeka Okongwu, PF",Atlanta Hawks,"$6,104,280"
178,"Justin Holiday, SF",Sacramento Kings,"$6,006,420"
179,"Josh Giddey, SG",Oklahoma City Thunder,"$5,988,000"
180,"Rudy Gay, SF",Utah Jazz,"$5,890,000"
181,"Patty Mills, PG",Brooklyn Nets,"$5,890,000"
182,"Dennis Schroder, PG",Houston Rockets,"$5,890,000"
183,"Kevin Knox II, SF",Atlanta Hawks,"$5,845,979"
184,"Coby White, PG",Chicago Bulls,"$5,837,760"
185,"Killian Hayes, PG",Detroit Pistons,"$5,572,680"
186,"Mikal Bridges, SF",Phoenix Suns,"$5,557,725"
187,"Shai Gilgeous-Alexander, PG",Oklahoma City Thunder,"$5,495,532"
188,"Jonathan Kuminga, PF",Golden State Warriors,"$5,466,360"
189,"Miles Bridges, SF",Charlotte Hornets,"$5,421,493"
190,"Jaxson Hayes, C",New Orleans Pelicans,"$5,348,280"
191,"Pat Connaughton, SG",Milwaukee Bucks,"$5,333,334"
192,"Michael Porter Jr., SF",Denver Nuggets,"$5,258,735"
193,"Hamidou Diallo, SG",Detroit Pistons,"$5,200,000"
194,"Kevon Looney, F",Golden State Warriors,"$5,178,572"
195,"Troy Brown Jr., SF",Chicago Bulls,"$5,170,564"
196,"Obi Toppin, PF",New York Knicks,"$5,105,160"
197,"Franz Wagner, SF",Orlando Magic,"$5,007,840"
198,"Josh Jackson, SG",Sacramento Kings,"$5,005,350"
199,"Kris Dunn, G",Portland Trail Blazers,"$5,005,350"
200,"Kendrick Nunn, G",Washington Wizards,"$5,000,000"
201,"Dante Exum, PG",Houston Rockets,"$5,000,000"
202,"JaVale McGee, C",Phoenix Suns,"$5,000,000"
203,"Robin Lopez, C",Orlando Magic,"$5,000,000"
204,"Lou Williams, SG",Atlanta Hawks,"$5,000,000"
205,"Rui Hachimura, PF",Washington Wizards,"$4,916,160"
206,"Taj Gibson, F",New York Knicks,"$4,910,000"
207,"Cory Joseph, PG",Detroit Pistons,"$4,910,000"
208,"Garrett Temple, SF",New Orleans Pelicans,"$4,910,000"
209,"Torrey Craig, SF",Phoenix Suns,"$4,878,049"
210,"Bruce Brown, SF",Brooklyn Nets,"$4,736,102"
211,"Deni Avdija, SF",Washington Wizards,"$4,692,840"
212,"Donte DiVincenzo, SG",Sacramento Kings,"$4,675,830"
213,"Cam Reddish, SF",New York Knicks,"$4,670,160"
214,"David Nwaba, SF",Houston Rockets,"$4,650,000"
215,"Furkan Korkmaz, SG",Philadelphia 76ers,"$4,629,630"
216,"Davion Mitchell, PG",Sacramento Kings,"$4,603,320"
217,"Bryn Forbes, SG",Denver Nuggets,"$4,500,000"
218,"Ish Smith, PG",Washington Wizards,"$4,500,000"
219,"Jeff Green, PF",Denver Nuggets,"$4,500,000"
220,"Jalen Smith, PF",Indiana Pacers,"$4,458,000"
221,"Lonnie Walker IV, G",San Antonio Spurs,"$4,447,896"
222,"Cameron Johnson, SF",Phoenix Suns,"$4,437,000"
223,"Ziaire Williams, F",Memphis Grizzlies,"$4,373,040"
224,"Bobby Portis, F",Milwaukee Bucks,"$4,347,600"
225,"Maurice Harkless, SF",Sacramento Kings,"$4,347,600"
226,"Kevin Huerter, SG",Atlanta Hawks,"$4,253,357"
227,"Devin Vassell, SG",San Antonio Spurs,"$4,235,160"
228,"P.J. Washington, PF",Charlotte Hornets,"$4,215,120"
229,"James Bouknight, SG",Charlotte Hornets,"$4,154,400"
230,"Willie Cauley-Stein, C",Philadelphia 76ers,"$4,100,000"
231,"Josh Okogie, SF",Minnesota Timberwolves,"$4,087,904"
232,"Grayson Allen, SG",Milwaukee Bucks,"$4,054,695"
233,"Jarred Vanderbilt, PF",Minnesota Timberwolves,"$4,050,000"
234,"Tyrese Haliburton, PG",Indiana Pacers,"$4,023,600"
235,"Chandler Hutchison, SF",Phoenix Suns,"$4,019,459"
236,"Tyler Herro, PG",Miami Heat,"$4,004,280"
237,"Gorgui Dieng, C",Atlanta Hawks,"$4,000,000"
238,"Terence Davis, SG",Sacramento Kings,"$4,000,000"
239,"Dorian Finney-Smith, PF",Dallas Mavericks,"$4,000,000"
240,"George Hill, PG",Milwaukee Bucks,"$4,000,000"
241,"Aaron Holiday, G",Phoenix Suns,"$3,980,551"
242,"Joshua Primo, SG",San Antonio Spurs,"$3,946,800"
243,"Jake Layman, F",Minnesota Timberwolves,"$3,940,185"
244,"Anfernee Simons, SG",Portland Trail Blazers,"$3,938,818"
245,"Justise Winslow, PF",Portland Trail Blazers,"$3,902,439"
246,"Kira Lewis Jr., PG",New Orleans Pelicans,"$3,822,240"
247,"Romeo Langford, SG",San Antonio Spurs,"$3,804,360"
248,"Landry Shamet, SG",Phoenix Suns,"$3,768,342"
249,"Chris Duarte, SG",Indiana Pacers,"$3,749,400"
250,"Alex Len, C",Sacramento Kings,"$3,732,000"
251,"Gabriel Deck, SF",Oklahoma City Thunder,"$3,676,852"
252,"Robert Williams III, C",Boston Celtics,"$3,661,976"
253,"Aaron Nesmith, SF",Boston Celtics,"$3,631,200"
254,"Sekou Doumbouya, SF",Los Angeles Lakers,"$3,613,680"
255,"Moses Moody, SG",Golden State Warriors,"$3,562,200"
256,"Boban Marjanovic, C",Dallas Mavericks,"$3,500,000"
257,"Cole Anthony, PG",Orlando Magic,"$3,449,400"
258,"Corey Kispert, SF",Washington Wizards,"$3,383,640"
259,"Mike Muscala, C",Oklahoma City Thunder,"$3,365,385"
260,"Georges Niang, SF",Philadelphia 76ers,"$3,300,000"
261,"Michael Carter-Williams, G",Orlando Magic,"$3,300,000"
262,"Chuma Okeke, PF",Orlando Magic,"$3,277,080"
263,"Isaiah Stewart, C",Detroit Pistons,"$3,277,080"
264,"Nickeil Alexander-Walker, SG",Utah Jazz,"$3,261,480"
265,"Alperen Sengun, C",Houston Rockets,"$3,214,680"
266,"Facundo Campazzo, G",Denver Nuggets,"$3,200,000"
267,"Nicolas Batum, PF",LA Clippers,"$3,170,029"
268,"Trey Burke, PG",Dallas Mavericks,"$3,150,000"
269,"Aleksej Pokusevski, F",Oklahoma City Thunder,"$3,113,160"
270,"Goga Bitadze, C",Indiana Pacers,"$3,098,400"
271,"Trey Murphy III, SG",New Orleans Pelicans,"$3,053,760"
272,"Frank Jackson, G",Detroit Pistons,"$3,000,000"
273,"Sterling Brown, SF",Dallas Mavericks,"$3,000,000"
274,"Luka Samanic, F",Utah Jazz,"$2,959,080"
275,"Josh Green, SG",Dallas Mavericks,"$2,957,520"
276,"Tre Mann, PG",Oklahoma City Thunder,"$2,901,240"
277,"Matisse Thybulle, SG",Philadelphia 76ers,"$2,840,160"
278,"Saddiq Bey, SF",Detroit Pistons,"$2,824,320"
279,"Kai Jones, PF",Charlotte Hornets,"$2,770,560"
280,"Brandon Clarke, PF",Memphis Grizzlies,"$2,726,880"
281,"Precious Achiuwa, PF",Toronto Raptors,"$2,711,280"
282,"Marc Gasol, C",Memphis Grizzlies,"$2,692,991"
283,"Anthony Tolliver, PF",New Orleans Pelicans,"$2,692,991"
284,"Jalen Johnson, SF",Atlanta Hawks,"$2,659,580"
285,"Grant Williams, PF",Boston Celtics,"$2,617,800"
286,"Tyrese Maxey, PG",Philadelphia 76ers,"$2,602,920"
287,"Keon Johnson, SG",Portland Trail Blazers,"$2,553,120"
288,"Darius Bazley, PF",Oklahoma City Thunder,"$2,513,040"
289,"Trey Lyles, PF",Sacramento Kings,"$2,500,000"
290,"Zeke Nnaji, PF",Denver Nuggets,"$2,498,760"
291,"Isaiah Jackson, SF",Indiana Pacers,"$2,451,240"
292,"Ty Jerome, SG",Oklahoma City Thunder,"$2,412,840"
293,"Leandro Bolmaro, F",Minnesota Timberwolves,"$2,353,320"
294,"Usman Garuba, PF",Houston Rockets,"$2,353,320"
295,"Willy Hernangomez, C",New Orleans Pelicans,"$2,327,220"
296,"Edmond Sumner, PG",Brooklyn Nets,"$2,320,000"
297,"Nassir Little, SF",Portland Trail Blazers,"$2,316,240"
298,"R.J. Hampton, PG",Orlando Magic,"$2,303,040"
299,"Josh Christopher, SG",Houston Rockets,"$2,259,240"
300,"Dylan Windler, SG",Cleveland Cavaliers,"$2,239,200"
301,"Immanuel Quickley, SG",New York Knicks,"$2,210,640"
302,"John Konchar, SG",Memphis Grizzlies,"$2,200,000"
303,"Quentin Grimes, SG",New York Knicks,"$2,168,760"
304,"Jordan Poole, SG",Golden State Warriors,"$2,161,440"
305,"Bol Bol, C",Denver Nuggets,"$2,161,152"
306,"Keldon Johnson, SF",San Antonio Spurs,"$2,145,720"
307,"Payton Pritchard, PG",Boston Celtics,"$2,137,440"
308,"Jahlil Okafor, C",Atlanta Hawks,"$2,130,023"
309,"Bones Hyland, PG",Denver Nuggets,"$2,096,880"
310,"Udoka Azubuike, C",Utah Jazz,"$2,075,880"
311,"Jaden McDaniels, PF",Minnesota Timberwolves,"$2,063,280"
312,"Malachi Flynn, PG",Toronto Raptors,"$2,048,040"
313,"Cam Thomas, SG",Brooklyn Nets,"$2,036,280"
314,"Desmond Bane, SG",Memphis Grizzlies,"$2,033,160"
315,"Jaden Springer, G",Philadelphia 76ers,"$2,023,800"
316,"Day'Ron Sharpe, C",Brooklyn Nets,"$2,009,040"
317,"Theo Maledon, PG",Oklahoma City Thunder,"$2,000,000"
318,"Jeremiah Robinson-Earl, PF",Oklahoma City Thunder,"$2,000,000"
319,"Kenrich Williams, SF",Oklahoma City Thunder,"$2,000,000"
320,"Abdel Nader, SF",Phoenix Suns,"$2,000,000"
321,"Jordan McLaughlin, PG",Minnesota Timberwolves,"$2,000,000"
322,"Garrison Mathews, SG",Houston Rockets,"$2,000,000"
323,"Santi Aldama, PF",Memphis Grizzlies,"$1,994,520"
324,"Damian Jones, C",Sacramento Kings,"$1,977,011"
325,"Jontay Porter, PF",Memphis Grizzlies,"$1,950,000"
326,"Denzel Valentine, G",Utah Jazz,"$1,939,350"
327,"PJ Dozier, G",Denver Nuggets,"$1,910,860"
328,"Damion Lee, SG",Golden State Warriors,"$1,910,860"
329,"Killian Tillie, SF",Memphis Grizzlies,"$1,901,625"
330,"Shake Milton, SG",Philadelphia 76ers,"$1,846,738"
331,"Wes Iwundu, F",Atlanta Hawks,"$1,824,003"
332,"Dwayne Bacon, SG",Los Angeles Lakers,"$1,824,003"
333,"Mitchell Robinson, C",New York Knicks,"$1,802,057"
334,"Jalen Brunson, PG",Dallas Mavericks,"$1,802,057"
335,"Didi Louzada, SF",Portland Trail Blazers,"$1,786,878"
336,"Cody Martin, SF",Charlotte Hornets,"$1,782,621"
337,"Daniel Gafford, C",Washington Wizards,"$1,782,621"
338,"Luguentz Dort, G",Oklahoma City Thunder,"$1,782,621"
339,"KZ Okpala, SF",Miami Heat,"$1,782,621"
340,"Jalen McDaniels, PF",Charlotte Hornets,"$1,782,621"
341,"Isaiah Roby, F",Oklahoma City Thunder,"$1,782,621"
342,"Nic Claxton, C",Brooklyn Nets,"$1,782,621"
343,"Naz Reid, C",Minnesota Timberwolves,"$1,782,621"
344,"Jaylen Nowell, SG",Minnesota Timberwolves,"$1,782,621"
345,"Eric Paschall, F",Utah Jazz,"$1,782,621"
346,"Mychal Mulder, G",Miami Heat,"$1,782,621"
347,"Caleb Martin, SF",Miami Heat,"$1,782,621"
348,"Terance Mann, SG",LA Clippers,"$1,782,621"
349,"Yogi Ferrell, PG",LA Clippers,"$1,782,621"
350,"Kevin Porter Jr., SG",Houston Rockets,"$1,782,621"
351,"Alen Smailagic, PF",Golden State Warriors,"$1,782,621"
352,"Carsen Edwards, PG",Detroit Pistons,"$1,782,621"
353,"Vlatko Cancar, SF",Denver Nuggets,"$1,782,621"
354,"Dean Wade, PF",Cleveland Cavaliers,"$1,782,621"
355,"Miye Oni, SG",Utah Jazz,"$1,782,621"
356,"Bruno Fernando, PF",Houston Rockets,"$1,782,621"
357,"Chimezie Metu, PF",Sacramento Kings,"$1,762,796"
358,"Drew Eubanks, PF",Portland Trail Blazers,"$1,762,796"
359,"Yuta Watanabe, SF",Toronto Raptors,"$1,762,796"
360,"Khyri Thomas, SG",Houston Rockets,"$1,762,796"
361,"Svi Mykhailiuk, SG",Toronto Raptors,"$1,729,217"
362,"Keita Bates-Diop, SF",San Antonio Spurs,"$1,729,217"
363,"Moritz Wagner, C",Orlando Magic,"$1,729,217"
364,"Juan Toscano-Anderson, SF",Golden State Warriors,"$1,701,593"
365,"Paul Watson, SG",Oklahoma City Thunder,"$1,701,593"
366,"Charlie Brown Jr., G",Philadelphia 76ers,"$1,701,593"
367,"Oshae Brissett, SF",Indiana Pacers,"$1,701,593"
368,"Tyler Cook, F",Chicago Bulls,"$1,701,593"
369,"Kelan Martin, SG",Boston Celtics,"$1,701,593"
370,"Mfiondu Kabengele, C",Boston Celtics,"$1,701,593"
371,"Herbert Jones, SF",New Orleans Pelicans,"$1,700,000"
372,"Isaac Bonga, G",Toronto Raptors,"$1,669,178"
373,"Sam Dekker, F",Toronto Raptors,"$1,669,178"
374,"Otto Porter Jr., SF",Golden State Warriors,"$1,669,178"
375,"Jarrell Brantley, PF",Utah Jazz,"$1,669,178"
376,"Hassan Whiteside, C",Utah Jazz,"$1,669,178"
377,"Malik Monk, SG",Los Angeles Lakers,"$1,669,178"
378,"Kent Bazemore, SF",Los Angeles Lakers,"$1,669,178"
379,"Ben McLemore, SG",Portland Trail Blazers,"$1,669,178"
380,"Timothe Luwawu-Cabarrot, SG",Atlanta Hawks,"$1,669,178"
381,"Elfrid Payton, PG",Phoenix Suns,"$1,669,178"
382,"Dewayne Dedmon, C",Miami Heat,"$1,669,178"
383,"Paul Millsap, PF",Philadelphia 76ers,"$1,669,178"
384,"E'Twaun Moore, G",Orlando Magic,"$1,669,178"
385,"Isaiah Hartenstein, C",LA Clippers,"$1,669,178"
386,"Solomon Hill, SF",Atlanta Hawks,"$1,669,178"
387,"LaMarcus Aldridge, C",Brooklyn Nets,"$1,669,178"
388,"Austin Rivers, SG",Denver Nuggets,"$1,669,178"
389,"Thanasis Antetokounmpo, SF",Milwaukee Bucks,"$1,669,178"
390,"Max Strus, SG",Miami Heat,"$1,669,178"
391,"Gabe Vincent, PG",Miami Heat,"$1,669,178"
392,"Victor Oladipo, SG",Miami Heat,"$1,669,178"
393,"Udonis Haslem, PF",Miami Heat,"$1,669,178"
394,"Avery Bradley, PG",Los Angeles Lakers,"$1,669,178"
395,"Wayne Ellington, SG",Los Angeles Lakers,"$1,669,178"
396,"Trevor Ariza, SF",Los Angeles Lakers,"$1,669,178"
397,"Dwight Howard, C",Los Angeles Lakers,"$1,669,178"
398,"Carmelo Anthony, PF",Los Angeles Lakers,"$1,669,178"
399,"Semi Ojeleye, PF",LA Clippers,"$1,669,178"
400,"Rodney Hood, SG",LA Clippers,"$1,669,178"
401,"James Johnson, PF",Brooklyn Nets,"$1,669,178"
402,"Frank Kaminsky, PF",Phoenix Suns,"$1,669,178"
403,"Gary Payton II, SG",Golden State Warriors,"$1,669,178"
404,"Nemanja Bjelica, PF",Golden State Warriors,"$1,669,178"
405,"Andre Iguodala, F",Golden State Warriors,"$1,669,178"
406,"Rodney McGruder, G",Detroit Pistons,"$1,669,178"
407,"Frank Ntilikina, PG",Dallas Mavericks,"$1,669,178"
408,"Markieff Morris, PF",Miami Heat,"$1,669,178"
409,"Raul Neto, PG",Washington Wizards,"$1,669,178"
410,"Kevin Pangos, G",Cleveland Cavaliers,"$1,669,178"
411,"Ed Davis, C",Cleveland Cavaliers,"$1,669,178"
412,"Rajon Rondo, PG",Cleveland Cavaliers,"$1,669,178"
413,"Tony Bradley, C",Chicago Bulls,"$1,669,178"
414,"Matt Thomas, SG",Chicago Bulls,"$1,669,178"
415,"Javonte Green, SF",Chicago Bulls,"$1,669,178"
416,"Andre Drummond, C",Brooklyn Nets,"$1,669,178"
417,"Tony Snell, SF",New Orleans Pelicans,"$1,669,178"
418,"Jabari Parker, PF",Boston Celtics,"$1,669,178"
419,"Enes Freedom, C",Boston Celtics,"$1,669,178"
420,"Blake Griffin, PF",Brooklyn Nets,"$1,669,178"
421,"Nick Richards, C",Charlotte Hornets,"$1,517,981"
422,"Tyrell Terry, PG",Memphis Grizzlies,"$1,517,981"
423,"Xavier Tillman, F",Memphis Grizzlies,"$1,517,981"
